id,harvest_date,commodity_type,commodity_spec,total_weight_kg,weight_per_unit_kg,harvest_location,remarks,date_verified,verified_by,prev_record
1,2023-08-24,Banana,Lakatan,111.25,0.25,Orani,Experimental,2023-08-27 00:00:00,,
2,2023-08-17,Banana,Lakatan,63.75,0.25,Hermosa,Experimental,2023-08-22 00:00:00,,
3,2023-07-27,Pineapple,Queen,347,1,Hermosa,Experimental,2023-08-01 00:00:00,,
4,2023-09-10,Pineapple,Queen,394,1,Dinalupihan,Typhoon impact,2023-09-12 00:00:00,,
5,2023-03-21,Banana,Saba,70.8,0.3,Abucay,,2023-03-22 00:00:00,,
6,2023-11-03,Mango,Carabao,241,0.5,Samal,Typhoon impact,2023-11-04 00:00:00,,
7,2023-10-11,Papaya,Solo,303.6,1.2,Orani,Peak season,2023-10-13 00:00:00,,
8,2023-06-13,Banana,Lakatan,98,0.25,Samal,,2023-06-18 00:00:00,,
9,2023-04-13,Banana,Lakatan,54.75,0.25,Dinalupihan,,2023-04-16 00:00:00,,
10,2023-11-09,Pineapple,Queen,148,1,Samal,Peak season,2023-11-12 00:00:00,,
11,2023-09-11,Mango,Carabao,244.5,0.5,Dinalupihan,,2023-09-12 00:00:00,,
12,2023-05-16,Papaya,Solo,342,1.2,Balanga,Typhoon impact,2023-05-20 00:00:00,,
13,2023-05-19,Banana,Saba,70.2,0.3,Balanga,Experimental,2023-05-24 00:00:00,,
14,2023-06-27,Papaya,Solo,190.8,1.2,Hermosa,,2023-06-29 00:00:00,,
15,2023-12-23,Banana,Lakatan,114.25,0.25,Orani,Peak season,2023-12-25 00:00:00,,
16,2023-12-18,Mango,Carabao,232,0.5,Balanga,Experimental,2023-12-23 00:00:00,,
17,2023-02-21,Papaya,Solo,475.2,1.2,Balanga,Experimental,2023-02-22 00:00:00,,
18,2023-06-13,Pineapple,Queen,333,1,Orani,,2023-06-18 00:00:00,,
19,2023-08-10,Pineapple,Queen,365,1,Hermosa,,2023-08-13 00:00:00,,
20,2023-06-21,Mango,Carabao,144.5,0.5,Samal,,2023-06-25 00:00:00,,
21,2023-02-11,Mango,Indian,214.65,0.45,Samal,,2023-02-14 00:00:00,,
22,2023-04-08,Banana,Lakatan,72,0.25,Samal,,2023-04-12 00:00:00,,
23,2023-01-08,Pineapple,Queen,145,1,Orani,,2023-01-09 00:00:00,,
24,2023-11-16,Papaya,Solo,294,1.2,Orani,Experimental,2023-11-18 00:00:00,,
25,2023-08-22,Banana,Lakatan,114.25,0.25,Dinalupihan,Peak season,2023-08-25 00:00:00,,
26,2023-06-01,Pineapple,Queen,221,1,Hermosa,,2023-06-03 00:00:00,,
27,2023-08-03,Pineapple,Queen,491,1,Balanga,,2023-08-08 00:00:00,,
28,2023-04-07,Banana,Saba,40.5,0.3,Orani,,2023-04-08 00:00:00,,
29,2023-03-12,Banana,Saba,46.5,0.3,Balanga,,2023-03-13 00:00:00,,
30,2023-02-12,Mango,Carabao,175.5,0.5,Samal,Peak season,2023-02-14 00:00:00,,
31,2023-06-19,Papaya,Solo,370.8,1.2,Balanga,Peak season,2023-06-23 00:00:00,,
32,2023-10-19,Banana,Lakatan,103,0.25,Samal,Peak season,2023-10-21 00:00:00,,
33,2023-08-27,Mango,Indian,178.2,0.45,Orani,Peak season,2023-08-29 00:00:00,,
34,2023-04-27,Banana,Lakatan,58.5,0.25,Abucay,Experimental,2023-04-28 00:00:00,,
35,2023-03-08,Papaya,Solo,504,1.2,Hermosa,,2023-03-09 00:00:00,,
36,2023-04-25,Mango,Indian,47.7,0.45,Orani,,2023-04-28 00:00:00,,
37,2023-01-28,Banana,Lakatan,75.75,0.25,Balanga,Peak season,2023-02-01 00:00:00,,
38,2023-11-10,Mango,Indian,191.25,0.45,Abucay,,2023-11-12 00:00:00,,
39,2023-08-14,Banana,Saba,114.6,0.3,Samal,Typhoon impact,2023-08-19 00:00:00,,
40,2023-07-28,Pineapple,Queen,493,1,Balanga,Typhoon impact,2023-07-29 00:00:00,,
41,2023-03-23,Mango,Carabao,177,0.5,Dinalupihan,,2023-03-24 00:00:00,,
42,2023-02-19,Mango,Indian,210.6,0.45,Hermosa,Peak season,2023-02-22 00:00:00,,
43,2023-06-29,Banana,Saba,41.7,0.3,Dinalupihan,Typhoon impact,2023-06-30 00:00:00,,
44,2023-08-07,Mango,Carabao,237,0.5,Dinalupihan,Typhoon impact,2023-08-09 00:00:00,,
45,2023-06-17,Pineapple,Queen,168,1,Samal,,2023-06-18 00:00:00,,
46,2023-08-30,Papaya,Solo,177.6,1.2,Orani,Experimental,2023-08-31 00:00:00,,
47,2023-09-17,Papaya,Solo,176.4,1.2,Abucay,Peak season,2023-09-19 00:00:00,,
48,2023-05-11,Banana,Lakatan,39.5,0.25,Balanga,,2023-05-12 00:00:00,,
49,2023-07-03,Banana,Lakatan,92.5,0.25,Orani,Typhoon impact,2023-07-04 00:00:00,,
50,2023-07-14,Mango,Indian,113.4,0.45,Samal,Peak season,2023-07-15 00:00:00,,
