harvest_date,commodity,municipality,barangay,total_weight_kg,weight_per_unit_kg,remarks
2023-01-01,Avocado,5,,5068,0.3,Distributed from annual total of hermosa
2023-01-01,Banana,5,,3867,0.118,Distributed from annual total of hermosa
2023-01-01,Calamansi,5,,169,0.03,Distributed from annual total of hermosa
2023-01-01,Coffee,5,,13599,0.1325,Distributed from annual total of hermosa
2023-01-01,Mango,5,,30072,0.325,Distributed from annual total of hermosa
2023-01-01,Papaya,5,,1478,0.2,Distributed from annual total of hermosa
2023-01-01,Pineapple,5,,5084,2.75,Distributed from annual total of hermosa
2023-01-01,Rambutan,5,,4952,0.03,Distributed from annual total of hermosa
2023-02-01,Avocado,5,,5022,0.3,Distributed from annual total of hermosa
2023-02-01,Banana,5,,4127,0.118,Distributed from annual total of hermosa
2023-02-01,Calamansi,5,,150,0.03,Distributed from annual total of hermosa
2023-02-01,Coffee,5,,13453,0.1325,Distributed from annual total of hermosa
2023-02-01,Mango,5,,29778,0.325,Distributed from annual total of hermosa
2023-02-01,Papaya,5,,1480,0.2,Distributed from annual total of hermosa
2023-02-01,Pineapple,5,,5037,2.75,Distributed from annual total of hermosa
2023-02-01,Rambutan,5,,4925,0.03,Distributed from annual total of hermosa
2023-03-01,Avocado,5,,5190,0.3,Distributed from annual total of hermosa
2023-03-01,Banana,5,,3976,0.118,Distributed from annual total of hermosa
2023-03-01,Calamansi,5,,194,0.03,Distributed from annual total of hermosa
2023-03-01,Coffee,5,,4550,0.1325,Distributed from annual total of hermosa
2023-03-01,Mango,5,,30183,0.325,Distributed from annual total of hermosa
2023-03-01,Papaya,5,,1478,0.2,Distributed from annual total of hermosa
2023-03-01,Pineapple,5,,5004,2.75,Distributed from annual total of hermosa
2023-03-01,Rambutan,5,,4897,0.03,Distributed from annual total of hermosa
2023-04-01,Avocado,5,,5014,0.3,Distributed from annual total of hermosa
2023-04-01,Banana,5,,4004,0.118,Distributed from annual total of hermosa
2023-04-01,Calamansi,5,,194,0.03,Distributed from annual total of hermosa
2023-04-01,Coffee,5,,4650,0.1325,Distributed from annual total of hermosa
2023-04-01,Mango,5,,90103,0.325,Distributed from annual total of hermosa
2023-04-01,Papaya,5,,1577,0.2,Distributed from annual total of hermosa
2023-04-01,Pineapple,5,,5139,2.75,Distributed from annual total of hermosa
2023-04-01,Rambutan,5,,5111,0.03,Distributed from annual total of hermosa
2023-05-01,Avocado,5,,4970,0.3,Distributed from annual total of hermosa
2023-05-01,Banana,5,,4051,0.118,Distributed from annual total of hermosa
2023-05-01,Calamansi,5,,157,0.03,Distributed from annual total of hermosa
2023-05-01,Coffee,5,,4391,0.1325,Distributed from annual total of hermosa
2023-05-01,Mango,5,,90045,0.325,Distributed from annual total of hermosa
2023-05-01,Papaya,5,,1515,0.2,Distributed from annual total of hermosa
2023-05-01,Pineapple,5,,14810,2.75,Distributed from annual total of hermosa
2023-05-01,Rambutan,5,,5088,0.03,Distributed from annual total of hermosa
2023-06-01,Avocado,5,,5008,0.3,Distributed from annual total of hermosa
2023-06-01,Banana,5,,4031,0.118,Distributed from annual total of hermosa
2023-06-01,Calamansi,5,,173,0.03,Distributed from annual total of hermosa
2023-06-01,Coffee,5,,4564,0.1325,Distributed from annual total of hermosa
2023-06-01,Mango,5,,89856,0.325,Distributed from annual total of hermosa
2023-06-01,Papaya,5,,1541,0.2,Distributed from annual total of hermosa
2023-06-01,Pineapple,5,,15051,2.75,Distributed from annual total of hermosa
2023-06-01,Rambutan,5,,4994,0.03,Distributed from annual total of hermosa
2023-07-01,Avocado,5,,14838,0.3,Distributed from annual total of hermosa
2023-07-01,Banana,5,,3923,0.118,Distributed from annual total of hermosa
2023-07-01,Calamansi,5,,540,0.03,Distributed from annual total of hermosa
2023-07-01,Coffee,5,,4584,0.1325,Distributed from annual total of hermosa
2023-07-01,Mango,5,,30048,0.325,Distributed from annual total of hermosa
2023-07-01,Papaya,5,,1525,0.2,Distributed from annual total of hermosa
2023-07-01,Pineapple,5,,14778,2.75,Distributed from annual total of hermosa
2023-07-01,Rambutan,5,,5073,0.03,Distributed from annual total of hermosa
2023-08-01,Avocado,5,,15072,0.3,Distributed from annual total of hermosa
2023-08-01,Banana,5,,3883,0.118,Distributed from annual total of hermosa
2023-08-01,Calamansi,5,,517,0.03,Distributed from annual total of hermosa
2023-08-01,Coffee,5,,4418,0.1325,Distributed from annual total of hermosa
2023-08-01,Mango,5,,29746,0.325,Distributed from annual total of hermosa
2023-08-01,Papaya,5,,1462,0.2,Distributed from annual total of hermosa
2023-08-01,Pineapple,5,,5088,2.75,Distributed from annual total of hermosa
2023-08-01,Rambutan,5,,15060,0.03,Distributed from annual total of hermosa
2023-09-01,Avocado,5,,14997,0.3,Distributed from annual total of hermosa
2023-09-01,Banana,5,,4075,0.118,Distributed from annual total of hermosa
2023-09-01,Calamansi,5,,465,0.03,Distributed from annual total of hermosa
2023-09-01,Coffee,5,,4515,0.1325,Distributed from annual total of hermosa
2023-09-01,Mango,5,,29976,0.325,Distributed from annual total of hermosa
2023-09-01,Papaya,5,,1507,0.2,Distributed from annual total of hermosa
2023-09-01,Pineapple,5,,5101,2.75,Distributed from annual total of hermosa
2023-09-01,Rambutan,5,,14889,0.03,Distributed from annual total of hermosa
2023-10-01,Avocado,5,,4896,0.3,Distributed from annual total of hermosa
2023-10-01,Banana,5,,3989,0.118,Distributed from annual total of hermosa
2023-10-01,Calamansi,5,,564,0.03,Distributed from annual total of hermosa
2023-10-01,Coffee,5,,4419,0.1325,Distributed from annual total of hermosa
2023-10-01,Mango,5,,30225,0.325,Distributed from annual total of hermosa
2023-10-01,Papaya,5,,1513,0.2,Distributed from annual total of hermosa
2023-10-01,Pineapple,5,,5023,2.75,Distributed from annual total of hermosa
2023-10-01,Rambutan,5,,14887,0.03,Distributed from annual total of hermosa
2023-11-01,Avocado,5,,4878,0.3,Distributed from annual total of hermosa
2023-11-01,Banana,5,,4077,0.118,Distributed from annual total of hermosa
2023-11-01,Calamansi,5,,192,0.03,Distributed from annual total of hermosa
2023-11-01,Coffee,5,,13359,0.1325,Distributed from annual total of hermosa
2023-11-01,Mango,5,,30078,0.325,Distributed from annual total of hermosa
2023-11-01,Papaya,5,,1497,0.2,Distributed from annual total of hermosa
2023-11-01,Pineapple,5,,4880,2.75,Distributed from annual total of hermosa
