harvest_date,commodity,municipality,total_weight_kg,remarks
2024-01-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-02-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-03-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-04-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-05-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-06-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-07-01,Rambutan,Abucay,615,Monthly aggregate volume.
2024-08-01,Rambutan,Abucay,1150,Monthly aggregate volume.
2024-09-01,Rambutan,Abucay,1150,Monthly aggregate volume.
2024-10-01,Rambutan,Abucay,1150,Monthly aggregate volume.
2024-11-01,Rambutan,Abucay,308,Monthly aggregate volume.
2024-12-01,Rambutan,Abucay,21,Monthly aggregate volume.
2024-01-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-02-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-03-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-04-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-05-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-06-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-07-01,Rambutan,Bagac,123,Monthly aggregate volume.
2024-08-01,Rambutan,Bagac,230,Monthly aggregate volume.
2024-09-01,Rambutan,Bagac,230,Monthly aggregate volume.
2024-10-01,Rambutan,Bagac,230,Monthly aggregate volume.
2024-11-01,Rambutan,Bagac,61,Monthly aggregate volume.
2024-12-01,Rambutan,Bagac,4,Monthly aggregate volume.
2024-01-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-02-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-03-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-04-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-05-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-06-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-07-01,Rambutan,Balañga,61,Monthly aggregate volume.
2024-08-01,Rambutan,Balañga,115,Monthly aggregate volume.
2024-09-01,Rambutan,Balañga,115,Monthly aggregate volume.
2024-10-01,Rambutan,Balañga,115,Monthly aggregate volume.
2024-11-01,Rambutan,Balañga,31,Monthly aggregate volume.
2024-12-01,Rambutan,Balañga,2,Monthly aggregate volume.
2024-01-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-02-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-03-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-04-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-05-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-06-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-07-01,Rambutan,Dinalupihan,1231,Monthly aggregate volume.
2024-08-01,Rambutan,Dinalupihan,2300,Monthly aggregate volume.
2024-09-01,Rambutan,Dinalupihan,2300,Monthly aggregate volume.
2024-10-01,Rambutan,Dinalupihan,2300,Monthly aggregate volume.
2024-11-01,Rambutan,Dinalupihan,617,Monthly aggregate volume.
2024-12-01,Rambutan,Dinalupihan,41,Monthly aggregate volume.
2024-01-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-02-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-03-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-04-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-05-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-06-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-07-01,Rambutan,Hermosa,2463,Monthly aggregate volume.
