id,harvest_date,commodity_type,commodity_spec,total_weight_kg,weight_per_unit_kg,harvest_location,remarks,date_verified,verified_by,prev_record
1,2025-07-27,Calamansi,Calamansi Spec 1,396.91,1.13,Abucay,,2025-07-29,,
2,2025-07-27,Mangosteen,Mangosteen Spec 3,958.77,1.19,Orani,,2025-08-03,,
3,2025-03-07,Guava,Guava Spec 2,747.35,1.79,Balanga,,2025-03-13,,
4,2025-10-12,Rambutan,Rambutan Spec 1,246.75,0.6,Balanga,,2025-10-14,,
5,2024-05-19,Durian,Durian Spec 2,279.98,1.34,Pilar,,2024-05-25,,
6,2025-05-18,Lanzones,Lanzones Spec 1,883.91,2.15,Samal,,2025-05-22,,
7,2025-01-08,Papaya,Papaya Spec 3,150.6,0.8,Orani,,2025-01-11,,
8,2025-10-09,Lanzones,Lanzones Spec 2,420.25,1.74,Hermosa,,2025-10-14,,
9,2025-06-08,Guava,Guava Spec 1,423.77,0.97,Samal,,2025-06-11,,
10,2024-03-15,Guava,Guava Spec 1,215.88,0.45,Mariveles,,2024-03-21,,
11,2025-11-17,Durian,Durian Spec 2,844.4,0.47,Abucay,,2025-11-19,,
12,2025-03-20,Pineapple,Pineapple Spec 3,591.03,0.72,Abucay,,2025-03-24,,
13,2024-06-24,Papaya,Papaya Spec 3,851.71,2.16,Orani,,2024-06-28,,
14,2024-09-11,Papaya,Papaya Spec 1,530.7,2.1,Abucay,,2024-09-17,,
15,2024-04-02,Mango,Mango Spec 2,126.4,1.57,Bagac,,2024-04-02,,
16,2025-11-11,Calamansi,Calamansi Spec 2,908.24,0.72,Bagac,,2025-11-16,,
17,2024-12-03,Pineapple,Pineapple Spec 2,326.45,2.31,Samal,,2024-12-04,,
18,2025-10-30,Pineapple,Pineapple Spec 3,209.85,1.51,Orani,,2025-11-03,,
19,2024-05-22,Rambutan,Rambutan Spec 1,332.29,0.32,Balanga,,2024-05-29,,
20,2024-02-18,Calamansi,Calamansi Spec 2,596.64,2.18,Balanga,,2024-02-24,,
21,2025-12-02,Lanzones,Lanzones Spec 3,495.08,2.42,Hermosa,,2025-12-05,,
22,2025-03-25,Calamansi,Calamansi Spec 2,836.76,1.24,Dinalupihan,,2025-03-29,,
23,2025-08-10,Rambutan,Rambutan Spec 3,380.42,1.15,Orani,,2025-08-11,,
24,2025-08-23,Lanzones,Lanzones Spec 1,723.12,1.33,Orani,,2025-08-28,,
25,2025-02-21,Durian,Durian Spec 2,115.38,0.41,Abucay,,2025-02-22,,
26,2025-11-30,Mangosteen,Mangosteen Spec 2,224.87,2.85,Abucay,,2025-12-07,,
27,2024-11-16,Durian,Durian Spec 2,939.03,2.61,Bagac,,2024-11-22,,
28,2025-02-13,Papaya,Papaya Spec 3,432.65,2.94,Morong,,2025-02-19,,
29,2025-01-25,Lanzones,Lanzones Spec 2,667.63,2.89,Mariveles,,2025-01-29,,
30,2024-05-07,Papaya,Papaya Spec 3,800.4,1.83,Balanga,,2024-05-11,,
31,2024-07-01,Rambutan,Rambutan Spec 1,782.65,1.28,Orani,,2024-07-02,,
32,2024-03-05,Mango,Mango Spec 3,799.54,0.53,Orani,,2024-03-06,,
33,2025-11-22,Mangosteen,Mangosteen Spec 3,310.15,2.49,Hermosa,,2025-11-22,,
34,2025-02-10,Rambutan,Rambutan Spec 1,514.14,0.76,Abucay,,2025-02-16,,
35,2025-06-02,Mangosteen,Mangosteen Spec 2,946.83,1.99,Bagac,,2025-06-03,,
